Airport,Latitude,Longitude,2000,2004,2008,2012,2016,2020,2024
JFK,40.6446,-73.7797,17736035,16783259,21952364,24665911,31305193,8219317,34765387
LAX,33.9422,-118.4036,16712029,15787046,16153392,16842638,22177994,6246602,23438418
MIA,25.7923,-80.2823,15764954,13994513,15665875,18533134,19688934,6565834,23202731
SFO ,37.6191,-122.3816,7610807,7288543,8353143,9151620,11835425,3210024,15083931
EWR,40.6885,-74.1769,8664439,8589443,10923162,11145434,11757112,3688541,14690370
ORD,41.9803,-87.9090,9720268,9858038,11015251,10202658,11917782,3481860,13865434
ATL,33.6324,-84.4333,5900613,6627417,9218205,9556814,11194192,3347184,13813088
DFW,32.8922,-97.0391,4464868,4307080,4828654,5812744,7821342,3268822,11841330
IAH,29.9931,-95.3416,5289385,6084542,7577523,8510279,10530448,3491935,11675134
IAD,38.9522,-77.4579,3861638,4504308,5978374,6502055,7117880,1917510,10060851
BOS,42.3656,-71.0096,3492031,3577400,3419325,4034897,5842669,1574712,8491518
MCO,28.4244,-81.3105,1891539,1891306,2505254,3607326,5417295,1525177,7610776
FLL,26.0732,-80.1512,1150604,1504311,3033273,3404612,5642557,2839383,6897993
SEA,47.4484,-122.3086,2200152,2252592,2786758,3043696,4626762,1273179,6056779
CLT,35.2163,-80.9539,903010,1780229,2292869,2969355,2967941,1069001,4623143
